"","date","state","gtrend","totals","urban_pop_percent","rural_pop_percent","year","population","percent_in_poverty","Median income","Standard error","partisan_index_dem","partisan_index_rep","month","percent_of_unemployed_poulation","label"
"1",2013-08-01,"Alabama",58.2089552238806,49978,59,41,2013,4831586,18.9,"52690","2947",0.371084432827645,0.628915560733272,8,7.3,"positive"
"2",2013-08-01,"Alaska",67.1641791044776,7545,66,34,2013,737626,10.1,"77840","4203",NA,NA,8,7,"negative"
"3",2013-08-01,"Arizona",40.2985074626866,29065,89.8,10.2,2013,6634690,18.6,"64430","6151",0.457421397642461,0.542578606626829,8,7.8,"positive"
"4",2013-08-01,"Arkansas",46.2686567164179,22401,56.2,43.8,2013,2960459,19.4,"50830","3042",0.485670183935342,0.514329818645026,8,7.1,"positive"
"5",2013-08-01,"California",30.4878048780488,111132,95,5,2013,38253768,16.8,"73240","1557",0.605693922560972,0.394306074976096,8,8.9,"negative"
"6",2013-08-01,"Colorado",40.2439024390244,35642,86.2,13.8,2013,5270774,12.9,"80680","3565",0.537118041492574,0.462881962818244,8,6.7,"positive"
"7",2013-08-01,"Connecticut",34.1463414634146,23489,88,12,2013,3595792,10.7,"86300","3243",0.600984173317023,0.39901581397252,8,7.9,"negative"
"8",2013-08-01,"Delaware",35.3658536585366,2526,83.3,16.7,2013,924062,12.9,"66490","3165",0.609321909186348,0.390678092552418,8,6.4,"positive"
"9",2013-08-01,"District of Columbia",34.7368421052632,35,100,0,2013,651559,18.8,"77250","3924",NA,NA,8,8.4,"positive"
"10",2013-08-01,"Florida",36.8421052631579,81138,91.2,8.8,2013,19551678,17.1,"60970","2003",0.506046840880987,0.493953154510654,8,7.4,"positive"
"11",2013-08-01,"Georgia",38.9473684210526,34288,75.1,24.9,2013,9975592,19,"60400","2494",0.460714025034313,0.539285975819194,8,8,"positive"
"12",2013-08-01,"Hawaii",31.5789473684211,1283,91.9,8.1,2013,1408822,11.2,"78180","2810",0.723255582976073,0.276744399721539,8,4.6,"positive"
"13",2013-08-01,"Idaho",50.7042253521127,9967,70.6,29.4,2013,1612053,15.6,"65910","4655",0.348252869777414,0.651747134904574,8,7,"positive"
"14",2013-08-01,"Illinois",32.3943661971831,85074,88.5,11.5,2013,12895778,14.6,"72820","2220",0.569863048052304,0.430136955607837,8,9.1,"positive"
"15",2013-08-01,"Indiana",52.112676056338,49336,72.4,27.6,2013,6570575,15.8,"64360","4100",0.475393519173986,0.524606474879605,8,7.4,"positive"
"16",2013-08-01,"Iowa",46.4788732394366,8566,64,36,2013,3093935,12.6,"69840","2504",0.479734692312437,0.520265304512222,8,4.7,"positive"
"17",2013-08-01,"Kansas",43.0379746835443,14753,71.4,28.6,2013,2894306,13.9,"65550","1907",0.390787885416327,0.609212107743861,8,5.3,"positive"
"18",2013-08-01,"Kentucky",49.3670886075949,27296,58.4,41.6,2013,4406906,18.8,"53680","2386",0.42251425596455,0.577485749479251,8,8,"positive"
"19",2013-08-01,"Louisiana",44.3037974683544,25224,73,27,2013,4626040,20,"50450","3638",0.421286985632492,0.578713016360474,8,6.3,"positive"
"20",2013-08-01,"Maine",43.0379746835443,6806,38.7,61.3,2013,1328543,14,"63810","2487",0.463690091408051,0.536309921563641,8,6.6,"positive"
"21",2013-08-01,"Maryland",40.4040404040404,14929,87.2,12.8,2013,5925197,10.2,"83090","5584",0.64017074029504,0.359829268376843,8,6.5,"positive"
"22",2013-08-01,"Massachusetts",30.3030303030303,21380,92,8,2013,6715158,11.9,"80160","4400",0.625272564957777,0.374727420690005,8,6.7,"positive"
"23",2013-08-01,"Michigan",36.3636363636364,34265,74.6,25.4,2013,9914802,17,"62130","2838",0.566842757749861,0.433157230948374,8,8.8,"positive"
"24",2013-08-01,"Minnesota",37.3737373737374,35738,73.3,26.7,2013,5414722,11.2,"77550","2347",0.545767401485365,0.454232592796497,8,5,"positive"
"25",2013-08-01,"Mississippi",52.9411764705882,16821,51.2,48.8,2013,2989839,23.9,"52010","2730",0.345814346274838,0.654185652474553,8,8.5,"positive"
"26",2013-08-01,"Missouri",44.1176470588235,38352,70.5,29.5,2013,6042989,15.8,"64060","4708",0.461373832407828,0.538626160039582,8,6.7,"positive"
"27",2013-08-01,"Montana",58.8235294117647,10683,55.9,44.1,2013,1014158,16.1,"56190","4140",0.520302766325178,0.479697235390665,8,5.3,"positive"
"28",2013-08-01,"Nebraska",41.1764705882353,5411,73.1,26.9,2013,1855525,12.9,"68470","2311",0.410154419991512,0.589845565903179,8,3.7,"positive"
"29",2013-08-01,"Nevada",53.9473684210526,9540,94.2,5.8,2013,2790136,15.8,"57760","3603",0.544294247052185,0.455705733534314,8,9.8,"positive"
"30",2013-08-01,"New Hampshire",47.3684210526316,9645,60.3,39.7,2013,1323459,9,"90810","4152",0.483197516128394,0.516802473714856,8,5.2,"positive"
"31",2013-08-01,"New Jersey",27.6315789473684,9865,94.7,5.3,2013,8882190,11.4,"78660","3893",0.576685162404114,0.423314833527291,8,8.3,"positive"
"32",2013-08-01,"New Mexico",53.9473684210526,10939,77.4,22.6,2013,2085286,21.4,"53640","3399",0.562666284257147,0.437333702228759,8,6.9,"positive"
"33",2013-08-01,"New York",23.1707317073171,23867,91.9,8.1,2013,19570261,16,"68550","2091",0.646760293014104,0.353239705953295,8,7.8,"positive"
"34",2013-08-01,"North Carolina",40.2439024390244,36326,66.1,33.9,2013,9746170,17.8,"52470","2620",0.485831716513836,0.51416828145546,8,7.3,"negative"
